Название Скважины,ГЗУ,Связь,Статус работы,Тип Скважины,"Qж (факт), т/сут","Qж (4 часа), т/сут","Рлин, атм","Тлин, °C","Работа, ч",Комментарии
912,ГЗУ-12а ввг,1783941301.414,Stop,Pcp,25.457155736483095,0,,,-,
914,ГЗУ-12а ввг,1783939299.755,Running,Srp,43.65309247754836,44.187760756894875,,,-,
919,ГЗУ-12 ввг,1783943101.058,Stop,Pcp,27.489248557388123,27.321135013948442,,,-,
920,ГЗУ-12а ввг,1783942724.86,Stop,Srp,18.432454733264795,18.525803946173905,,,-,
922,ГЗУ-12а ввг,1783941581.665,Stop,Pcp,18.76060316617169,18.426435360721506,,,-,
923,ГЗУ-12а ввг,1783943490.564,,Pcp,13.855935947490272,13.816204333715229,,,-,
924,ГЗУ-12а ввг,1783942756.655,Stop,Pcp,26.128107156839352,26.162921691512715,,,-,
925,ГЗУ-12а ввг,1783943161.876,,Pcp,57.675449332238884,57.94040705823632,,,-,
927,ГЗУ-12а ввг,1783942106.221,Running,Pcp,76.73590463627754,76.95007930932309,,,-,
930,ГЗУ-12 ввг,1783942675.806,,Pcp,0,0,,,-,
931,ГЗУ-12 ввг,1783942943.908,,Pcp,3.8113298354497633,3.7538700512138066,,,-,
932,ГЗУ-12 ввг,1783942115.259,Stop,Pcp,23.053034955491214,23.446246529890434,,,-,
934,ГЗУ-12 ввг,1783942414.602,Stop,Pcp,8.746641408316934,8.782905707393537,,,-,
938,ГЗУ-12 ввг,1783942466.821,Stop,Pcp,23.682129558200998,23.841008159332333,,,-,
946,ГЗУ-34 п,1783942775.485,Stop,Pcp,28.927977924928122,28.367803808114914,,,-,
956,ГЗУ-12 ввг,1783943469.102,Stop,Srp,25.660827154822655,25.554866195661802,,,-,
957,ГЗУ-12 ввг,1783940137.063,,Pcp,69.16371597974661,68.88510696170515,,,-,
958,ГЗУ-12 ввг,1783943199.986,Stop,Pcp,48.29628191882004,47.01550264922553,,,-,
959,ГЗУ-12 ввг,1783941814.196,Stop,Srp,29.782143317013695,29.69279059457779,,,-,
961,ГЗУ-12а ввг,1783942556.173,Running,Pcp,54.381650850228574,54.77452673971244,,,-,
962,ГЗУ-12а ввг,1783943521.836,Running,Pcp,29.33022795285649,28.794441404504482,,,-,
963,ГЗУ-12а ввг,1783597869.421,Running,Pcp,null,null,,,-,
965,ГЗУ-12а ввг,1783942601.699,Running,Pcp,15.545749846707421,15.507973124096145,,,-,
967,ГЗУ-12а ввг,1783942962.37,Stop,Pcp,15.964252966466026,15.986742305986972,,,-,
970,ГЗУ-12 ввг,1783943482.395,Stop,Pcp,40.41070401815335,40.043362351053226,,,-,
